months_active,monthly_spend,support_tickets,late_payments,usage_score,previous_renewals,renewed,churned
40,2729,2,4,91,2,1,0
4,12573,1,3,95,2,1,0
2,7086,0,5,43,2,0,1
6,9599,7,1,47,5,1,0
42,12263,4,4,27,2,0,1
4,10138,3,2,55,3,0,0
29,5081,1,1,27,4,1,0
18,12388,6,2,77,1,0,1
26,3310,0,0,79,1,1,0
44,10785,3,1,69,5,1,0
34,1458,4,4,47,2,0,1
10,3610,3,1,60,2,1,0
36,7897,0,1,83,0,1,0
14,7345,7,1,46,4,1,1
31,10360,7,5,82,3,0,1
15,2785,5,1,36,1,0,1
8,9137,7,2,92,0,0,1
14,12210,5,0,52,0,0,1
23,3710,3,3,96,5,1,0
40,2533,2,1,48,1,0,0
21,2642,6,4,32,5,0,1
16,9479,6,1,65,3,1,0
45,3775,3,4,54,0,0,1
18,2758,1,2,25,0,0,1
47,6558,1,4,88,4,1,0
24,7493,7,3,66,3,0,1
26,3184,6,0,44,0,0,1
25,11910,6,4,85,3,1,1
45,5535,5,4,29,1,0,1
41,2601,2,0,75,2,1,0
29,8954,0,3,49,0,0,1
15,8919,1,1,24,4,1,0
45,7415,6,4,52,1,0,1
1,6333,5,0,84,3,1,0
25,4860,4,2,37,5,1,0
7,12360,5,0,68,1,0,0
9,1061,1,2,30,0,0,1
24,7086,1,3,45,3,0,0
1,9614,5,1,82,2,1,0
44,10007,0,0,78,1,1,0
8,12634,3,5,46,0,0,1
24,2848,1,4,68,4,1,0
11,6222,5,3,96,5,1,0
17,12714,6,0,52,3,1,0
8,5347,5,4,20,1,0,1
35,3907,2,0,40,1,0,0
35,7957,3,2,74,2,1,0
33,11047,4,0,25,2,0,1
5,8199,0,5,88,4,1,0
42,3969,7,0,24,5,1,0
39,10673,4,0,22,4,1,0
41,3054,3,5,72,0,0,1
28,1953,3,3,42,0,0,1
7,5298,3,0,72,4,1,0
9,7094,4,5,56,5,0,1
8,6996,6,4,93,4,1,1
12,12182,3,2,93,5,1,0
34,10687,5,2,36,5,1,1
33,12982,4,0,97,3,1,0
23,2447,7,3,92,5,1,0
24,6338,3,3,20,2,0,1
37,10436,5,4,70,5,1,1
35,4998,6,0,64,5,1,0
44,12914,2,2,96,5,1,0
40,9244,6,3,23,0,0,1
22,12174,7,0,81,2,1,0
27,3356,3,3,84,2,1,0
35,6391,7,5,51,4,0,1
1,897,4,3,53,3,0,1
35,2999,1,2,91,5,1,0
37,3760,3,1,58,1,1,0
47,5772,1,4,45,3,0,1
14,5232,5,4,53,3,0,1
3,12768,2,2,73,2,0,0
1,3668,0,3,22,3,0,1
5,12225,7,0,69,5,1,0
26,12782,6,3,31,5,0,1
14,1755,2,2,84,0,0,0
39,9151,3,4,73,5,1,0
27,6498,1,3,24,5,1,0
9,7743,6,4,76,2,0,1
15,5292,1,0,36,5,1,0
15,10291,4,4,66,0,0,1
26,5710,1,4,42,1,0,1
42,4786,4,1,98,2,1,0
13,10518,5,1,33,1,0,1
32,6814,6,5,85,2,0,1
39,2017,6,1,94,4,1,0
32,5295,0,4,70,3,1,0
4,5534,3,2,57,4,1,0
30,12095,4,4,83,5,1,0
37,11726,0,2,57,1,0,0
23,5354,1,2,69,5,1,0
39,9945,1,1,49,3,1,0
45,8849,0,3,98,2,1,0
15,4245,6,0,70,3,1,0
43,1844,1,1,82,0,1,0
29,7692,7,1,71,3,1,0
36,2492,5,3,57,0,0,1
13,4235,5,0,98,3,1,0
32,9553,7,4,49,0,0,1
7,11476,0,5,70,1,0,1
22,6694,7,5,24,5,0,1
28,4153,4,4,48,5,1,1
2,1024,4,1,23,4,0,0
42,5692,0,0,29,5,1,0
45,7821,7,1,75,2,1,1
6,9950,4,2,36,3,0,1
28,6399,6,1,93,4,1,0
28,12058,7,1,36,2,0,1
44,8795,6,4,88,2,1,1
44,9806,4,4,53,0,0,1
20,8482,5,4,25,5,0,1
30,5441,4,5,72,1,0,1
11,12111,6,2,85,1,0,1
28,8478,2,4,96,4,1,0
25,9007,3,0,62,1,1,0
39,8138,1,5,94,3,1,0
33,10234,7,3,42,1,0,1
1,3004,2,0,74,4,1,0
